7011,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六,六輕,,大美、莿桐、西螺、埔心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLJH,Yunlin CGMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日統客運 05-5361176,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0620,0820,1020,1210,1310,1510,1610,1710,1820,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林國中,雲林監理站,稅捐處,雲林科技大學,水岸藝術公園,斗六站,洪揚醫院,斗六後車站,電力公司,正心中學,虎尾溪里,豐泰公司,大美站,莿桐國中,莿桐農會,莿桐站,僑和國小,新莊仔,埤源加油站,西螺站,奉天宮,西螺農工,西螺加油站,西螺地政,第一銀行,西螺農會,南港輪胎,埔心,安定國小,永定厝,永定派出所,田頭,荷苞嶼,油車站,油車西站,大同國小,大同加油站,新莊,水尾,舊庄,草湖村口,豐榮站,豐榮西站,施厝寮,雷厝路口,橋頭,三姓,許厝寮,中興村,六輕站,雲林長庚醫院
Yunlin Junior High School,Yunlin Motor Vehicles Station,Revenue Service,Yunlin University of Sci. & Tech.,Shuian Art Park,Douliu Station,Hong yang Hospital,Douliou Station,Taiwan Power Company,Zhengxin High school,Huweixi Vil.,Fengtai Company,Damei Station,Citong Junior High School,Citong Farmer Assc.,Citong Station,Ciaohe Elementary School,Xinzhuangzi,Biyuan Gas Station,Xiluo Station,Fengtian Temple,Siluo Agricultural Industrial High,Xiluo Gas Station,Xiluo Land Office,First Bank,Siluo Farmer Assc.,Nankang Rubber Tire,Puxin,Anding Elementary School,Yongdingcuo,Yongding Police Substation,Tiantou,Hebaoyu,Youche Station,Youche West Station,Datong Elementary School,Datong Gas Station,Xinzhuang,Shuiwei,Jiuzhuang,Caohu Village,Fengrong Station,Fengrong West Station,Shicuoliao,Leicuo Road Intersection,Qiaotou,Sanxing,Hucuoliao,Zhongxing Village,Liuqing Station,Yunlin Changgung Memorial Hospital
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100015,西螺農工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勞工育樂中心,環球科技大學,勞工育樂中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Labor Recreation Center,Trans world University,The Labor Recreation Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7133,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六,西螺,經埤源,埤源、莿桐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douliu,Xiluo Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740,0815,1010,1105,1530,1600,1740,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0850,1500,1530,1740,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六,電力公司,正心中學,虎尾溪,豐泰,榮橋新村,大美,大美變電所,榮村,莿桐農會,莿桐,莿桐加油站,僑和國小,新庄,埤源,四塊厝,小茄苳,西螺農工,西螺站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douliu,Taiwan Power Company,Zhengxin High school,Huweixi,Fengtai,Rongqiao Village,Damei,Damei Transform Substation,Rongcun,Citong Farmer Assc.,Citong,Citong Gas Station,Ciaohe Elementary School,Xinzhuang,Biyuan,Sikuaicuo,Xiaojiadong,Siluo Agricultural Industrial High,Xiluo Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100015,西螺農工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
